pravna_forma,nazov_meno,adresa,mesto,okres,kraj,telefonne_cislo,mail,bankove_spojenie,ico,dic
FO,Černoková Adriana,Bartókova,Bitarová,Žilina,Žilinský kraj,"421,959,160,299",commodo.auctor.velit@nonduinec.ca,210195939/1358,12345727,1234568332
FO,Červenáková Martina,Bartoňova,Blahová,Dunajská Streda,Trnavský kraj,"421,998,856,143",Quisque.tincidunt.pede@massaSuspendisse.org,415272601/0725,12345728,1234568341
FO,Čunderlíková Mária,Bartoškova,Bohdanovce nad Trnavou,Trnava,Trnavský kraj,"421,992,517,042",tempus@nuncrisusvarius.org,823256734/8535,12345729,1234568350
FO,DANCOVA ADRIANA,Baštová,Boheľov,Dunajská Streda,Trnavský kraj,"421,938,573,577",Nullam.nisl.Maecenas@ac.org,616650978/8701,12345730,1234568359
FO,DANKOVA MONIKA,Batkova,Bohunice,Ilava,Trenčiansky kraj,"421,932,543,504",justo.sit@scelerisqueloremipsum.org,073985299/1735,12345731,1234568368
FO,DECSIOVA ZUZANA,Bazalková,Bohunice,Levice,Nitriansky kraj,"421,979,843,367",ipsum.leo@antedictummi.ca,470565319/5344,12345732,1234568377
FO,Donáth Vladimír,Bazová,Bohúňovo,Rožňava,Košický kraj,"421,977,312,204",dignissim@vitaenibh.edu,840843025/1563,12345733,1234568386
FO,DORNETZHUBEROVA MAGDA,Bazovského,Bojná,Topoľčany,Nitriansky kraj,"421,995,858,389",Donec.fringilla.Donec@afelisullamcorper.org,794794545/5815,12345734,1234568395
FO,DRAGUNOVA MARIA,Bažantia,Bojnice,Prievidza,Trenčiansky kraj,"421,945,126,527",tristique.neque@Duis.org,562278812/9128,12345735,1234568404
FO,DRANCIK FRANTISEK,Bebravská,Bojničky,Hlohovec,Trnavský kraj,"421,924,552,160",adipiscing.lobortis.risus@dapibus.ca,679335614/5596,12345736,1234568413
FO,DROBNY MICHAL,Belinského,Boldog,Senec,Bratislavský kraj,"421,990,897,013",sem.mollis.dui@leo.ca,743894164/2122,12345737,1234568422
FO,Droppa  Ivan,Bernolákova,Boleráz,Trnava,Trnavský kraj,"421,968,480,317",dolor.Nulla.semper@liberomauris.edu,016850343/8906,12345738,1234568431
FO,DROZDA MARTIN,Betliarska,Bolešov,Ilava,Trenčiansky kraj,"421,951,657,026",nec@nec.org,683248663/2794,12345739,1234568440
FO,DRUNEKOVA KATARINA,Bezručova,Boliarov,Košice-okolie,Košický kraj,"421,956,141,858",vel.arcu.eu@nibh.org,010274678/6200,12345740,1234568449
FO,Dúbravová  Eva,Beňadická,Boľ,Trebišov,Košický kraj,"421,910,720,893",dictum.mi@enim.ca,398115354/2030,12345741,1234568458
FO,DUCAROVA IVANA,Bieloruská,Boľkovce,Lučenec,Banskobystrický kraj,"421,957,798,502",vel.venenatis.vel@ipsumnuncid.ca,719564334/0345,12345742,1234568467
FO,Ďuďová Mária,Blagoevova,Borcová,Turčianske Teplice,Žilinský kraj,"421,984,720,297",vitae@et.com,369753626/5804,12345743,1234568476
FO,Dupejová Beáta,Bodvianska,Borčany,Bánovce nad Bebravou,Trenčiansky kraj,"421,931,246,153",molestie.in@consequatenimdiam.org,631400399/6159,12345744,1234568485
FO,DURAN ALEXANDER,Bohrova,Borčice,Ilava,Trenčiansky kraj,"421,969,984,890",Etiam.bibendum@fringillaeuismodenim.org,190499206/5802,12345745,1234568494
FO,DURISOVA DAGMAR,Bosákova,Borinka,Malacky,Bratislavský kraj,"421,983,574,743",et.ultrices.posuere@actellus.ca,309251662/5344,12345746,1234568503
FO,Dvorák Miloslav,Boskovičova,Borová,Trnava,Trnavský kraj,"421,962,517,638",odio.a@amifringilla.edu,646959396/7750,12345747,1234568512
FO,DZOPKO MICHAL,Bottova,Borovce,Piešťany,Trnavský kraj,"421,940,101,786",aliquam@elitCurabitursed.edu,242878002/3912,12345748,1234568521
FO,DZUGAN JAN,Bradáčova,Borský Mikuláš,Senica,Trnavský kraj,"421,992,204,054",urna@lectus.edu,658047317/8007,12345749,1234568530
FO,DZUROVA JARMILA,Brančská,Bracovce,Michalovce,Košický kraj,"421,909,316,230",nonummy.ultricies.ornare@risusodio.com,830939320/0876,12345750,1234568539
FO,Džubera Andrej,Bratská,Branč,Nitra,Nitriansky kraj,"421,997,463,854",dictum.magna@semmollis.ca,985691146/0850,12345751,1234568548
FO,Džupina Andrej,Budatínska,Branovo,Nové Zámky,Nitriansky kraj,"421,996,757,836",Donec.at@idmollis.com,200340138/8141,12345752,1234568557
FO,Eiben Eugen,Bulharská,Bratislava,Bratislava I,Bratislavský kraj,"421,945,386,980",turpis@convallisdolor.com,568989071/6842,12345753,1234568566
FO,ELIASOVA JANKA,Bulíkova,Brusník,Veľký Krtíš,Banskobystrický kraj,"421,908,650,879",neque.tellus.imperdiet@mauris.com,528634400/5215,12345754,1234568575
FO,FABIANOVA KATARINA,Bylinková,Brusno,Banská Bystrica,Banskobystrický kraj,"421,957,472,707",at.lacus@purus.org,339171946/1623,12345755,1234568584
FO,FARKAS ANTON,Bzovícka,Brutovce,Levoča,Prešovský kraj,"421,946,309,542",Donec.est@miDuisrisus.org,522156283/1633,12345756,1234568593
FO,FECENKO MIKULAS,Chalupkova,Bruty,Nové Zámky,Nitriansky kraj,"421,932,166,619",egestas@atpretiumaliquet.org,589837265/2364,12345757,1234568602
FO,FECKOVA ADRIENA,Cintorínska,Brvnište,Považská Bystrica,Trenčiansky kraj,"421,911,686,900",Morbi.quis@felisullamcorperviverra.com,189736050/9337,12345758,1234568611
FO,Fedor Peter-Freibergh,Cyprichova,Brzotín,Rožňava,Košický kraj,"421,942,475,174",malesuada.malesuada@Crasinterdum.org,421257651/2178,12345759,1234568620
FO,FEDORCAKOVA MAGDALENA,Dargovská,Buclovany,Bardejov,Prešovský kraj,"421,982,960,577",Morbi@quisturpisvitae.com,763359525/2320,12345760,1234568629
FO,Feketeová  Eva,Diamantová,Búč,Komárno,Nitriansky kraj,"421,936,157,714",hendrerit.id@Duis.ca,129001174/6244,12345761,1234568638
FO,FEKETEOVA MARTA,Dolnozemská,Bučany,Trnava,Trnavský kraj,"421,945,589,572",ac@ullamcorperviverraMaecenas.edu,037385237/1019,12345762,1234568647
FO,FEKETOVA SONA,Donnerova,Budča,Zvolen,Banskobystrický kraj,"421,970,180,849",pellentesque.eget@quamdignissim.org,584524957/6851,12345763,1234568656
FO,FELEDIOVA RENATA,Dopravna,Budikovany,Rimavská Sobota,Banskobystrický kraj,"421,953,914,326",Suspendisse.eleifend@vulputaterisus.org,217444807/7201,12345764,1234568665
FO,FERENCIKOVA MARTA,Drotárska,Bystrá,Brezno,Banskobystrický kraj,"421,909,829,915",tristique.neque.venenatis@risus.com,617417841/1496,12345765,1234568674
FO,Ficková Hedviga,Dubnická (Bratislava)Dubnická,Bystrá,Stropkov,Prešovský kraj,"421,980,587,782",hendrerit@placeratCrasdictum.ca,786774467/6215,12345766,1234568683
FO,Fischer Imrich,Dudova,Bystrany,Spišská Nová Ves,Košický kraj,"421,949,465,747",mollis@diamvelarcu.org,756698336/0422,12345767,1234568692
FO,Flešár Gabriel,Einsteinova,Bystré,Vranov nad Topľou,Prešovský kraj,"421,945,578,737",auctor.vitae@eu.ca,216793465/7237,12345768,1234568701
FO,FOGELOVA ALENA,Eisnerova,Bystričany,Prievidza,Trenčiansky kraj,"421,965,688,228",est.mollis.non@semmollisdui.org,547947749/6356,12345769,1234568710
FO,FOLOSOVA IVETA,Fadejevova,Bystrička,Martin,Žilinský kraj,"421,944,279,767",venenatis.vel@tellusPhasellus.edu,574917269/3778,12345770,1234568719
FO,FORGAC STEFAN,Farského,Byšta,Trebišov,Košický kraj,"421,955,722,667",justo.Proin@lobortisnisinibh.edu,864736962/7134,12345771,1234568728
FO,FRIMMELOVA PATRICIA,Fedinova,Bytča,Bytča,Žilinský kraj,"421,952,496,449",Phasellus@Pellentesquetincidunt.edu,673201595/7874,12345772,1234568737
FO,GAJDOS EDUARD,Fedákova,Bzenica,Žiar nad Hronom,Banskobystrický kraj,"421,945,210,548",enim.Curabitur@rutrum.org,729592838/2320,12345773,1234568746
FO,GALANDA MIROSLAV,Figová,Bzenov,Prešov,Prešovský kraj,"421,918,640,606",dictum.eleifend@dapibusquam.com,663271273/7425,12345774,1234568755
FO,GALBAVA MARIA,Furdekova,Bzince pod Javorinou,Nové Mesto nad Váhom,Trenčiansky kraj,"421,960,786,959",eleifend@Vivamusnon.edu,324383702/5896,12345775,1234568764
FO,Galková Viera,Gajova,Čičarovce,Michalovce,Košický kraj,"421,963,560,390",gravida.sit@arcuSed.ca,099081515/2803,12345776,1234568773
PO,GARAY ROBERT,Gallayova,Čičava,Vranov nad Topľou,Prešovský kraj,"421,986,399,157",tellus.Phasellus.elit@fringilla.edu,391417982/3675,12345777,1234568782
PO,GASPAROVA EVA,Gercenova,Čičmany,Žilina,Žilinský kraj,"421,924,990,499",turpis@ultriciessemmagna.edu,508823767/8411,12345778,1234568791
PO,GASPAROVA NADEZDA,Gessayova,Číčov,Komárno,Nitriansky kraj,"421,969,770,340",neque@sedpede.com,557773365/0095,12345779,1234568800
PO,GAZDIKOVA EMILIA,Gettingova,Čierna,Trebišov,Košický kraj,"421,965,360,514",et.libero.Proin@eratsemper.org,224554228/2560,12345780,1234568809
PO,GAZDIKOVA KAMILA,Gogoľova,Čierna Lehota,Bánovce nad Bebravou,Trenčiansky kraj,"421,928,985,048",nibh@nullaat.edu,068339495/5149,12345781,1234568818
PO,GAZIOVA MIRIAM,Goralská,Čierna Lehota,Rožňava,Košický kraj,"421,994,809,777",dapibus.rutrum@Suspendisseac.edu,863304198/1037,12345782,1234568827
PO,Gdovinová Zuzana,Gorkého,Čierna nad Tisou,Trebišov,Košický kraj,"421,998,336,164",sem@consectetuer.org,855352496/6172,12345783,1234568836
PO,Genčík Andrej,Grösslingová,Čierna Voda,Galanta,Trnavský kraj,"421,948,121,724",Morbi@dictumultriciesligula.org,452699048/0835,12345784,1234568845
PO,GERBERYOVA ANDREA,Haanova,Čierne,Čadca,Žilinský kraj,"421,921,867,409",nisi@luctusaliquetodio.ca,642867367/5021,12345785,1234568854
PO,GERNATH LUBOMIR,Handlovská,Čierne Kľačany,Zlaté Moravce,Nitriansky kraj,"421,962,793,869",eleifend@atortorNunc.ca,299810800/8540,12345786,1234568863
PO,GETLIK LADISLAV,Harmanecká,Čierne nad Topľou,Vranov nad Topľou,Prešovský kraj,"421,966,206,056",In.condimentum@sit.org,773982678/2938,12345787,1234568872
PO,GINTEROVA ANNA,Harmincova,Čierne Pole,Michalovce,Košický kraj,"421,975,314,109",quis.urna.Nunc@arcu.com,523488069/3269,12345788,1234568881
PO,GLASNAKOVA ANNA,Hlaváčikova,Čierny Balog,Brezno,Banskobystrický kraj,"421,908,477,204",lacinia.orci@dolorQuisquetincidunt.org,518229652/5487,12345789,1234568890
PO,GMITTEROVA KARIN,Holubyho,Čierny Brod,Galanta,Trnavský kraj,"421,922,609,428",eget.nisi.dictum@velconvallisin.edu,460192524/6085,12345790,1234568899
PO,GOGOLAK IVAN,Holíčska,Čierny Potok,Rimavská Sobota,Banskobystrický kraj,"421,916,524,138",sit.amet.ante@ametorci.edu,631250527/7196,12345791,1234568908
PO,GOGOLAKOVA ALICA,Horná,Čifáre,Nitra,Nitriansky kraj,"421,923,833,536",Duis@eusemPellentesque.com,776708345/5989,12345792,1234568917
PO,GOLDENBERG ZOLTAN,Hriňovská,Dolná Tižina,Žilina,Žilinský kraj,"421,990,880,310",nec.mauris@velit.ca,725684141/0865,12345793,1234568926
PO,GORTHA STEFAN,Hrobákova,Dolná Trnávka,Žiar nad Hronom,Banskobystrický kraj,"421,955,511,421",sapien@cursus.edu,022990580/8537,12345794,1234568935
PO,GOSSANYIOVA DANICA,Hrobárska,Dolná Ves,Žiar nad Hronom,Banskobystrický kraj,"421,979,122,717",lacinia.at.iaculis@Namacnulla.org,369483549/2952,12345795,1234568944
PO,Gregušová Judita,Hviezdoslavova,Dolná Ždaňa,Žiar nad Hronom,Banskobystrický kraj,"421,969,721,532",in@magna.edu,142393231/7062,12345796,1234568953
PO,Grenda Štefan,Hálova,Dolné Dubové,Trnava,Trnavský kraj,"421,979,742,942",egestas.Duis.ac@mifringillami.ca,899122171/2355,12345797,1234568962
PO,GROFIK MILAN,Iľjušinova,Dolné Kočkovce,Púchov,Trenčiansky kraj,"421,930,296,587",adipiscing@nibhenimgravida.ca,020912091/9609,12345798,1234568971
PO,Gromová Daša,Janka Kráľa,Dolné Lefantovce,Nitra,Nitriansky kraj,"421,993,393,614",lobortis.risus.In@loremvitaeodio.com,203461104/5500,12345799,1234568980
PO,Gurčík  Ladislav,Jankolova,Dolné Lovčice,Trnava,Trnavský kraj,"421,947,648,526",neque.Morbi.quis@porttitor.com,948780714/1779,12345800,1234568989
PO,GUTAN SLAVOMIR,Jantárová cesta,Dolné Mladonice,Krupina,Banskobystrický kraj,"421,951,521,219",tempor@dui.ca,069188842/0911,12345801,1234568998
PO,HABERERNOVA JANA,Jarná,Dolné Naštice,Bánovce nad Bebravou,Trenčiansky kraj,"421,918,429,501",facilisis.magna.tellus@arcuVivamussit.org,950005371/4633,12345802,1234569007
PO,HADASOVA KATARINA,Jaroslavova,Dolný Kalník,Martin,Žilinský kraj,"421,960,604,246",diam.luctus@volutpat.com,611356592/4133,12345803,1234569016
PO,Haffnerová Ivica,Jaskový rad,Dolný Kubín,Dolný Kubín,Žilinský kraj,"421,984,628,187",velit@hendrerit.org,939079327/1370,12345804,1234569025
PO,HAGAROVA IZABELA,Jasovská,Dolný Lieskov,Považská Bystrica,Trenčiansky kraj,"421,925,106,833",odio.sagittis@semPellentesqueut.org,781369374/0715,12345805,1234569034
PO,HAJAS GABRIEL,Javorinská,Dolný Lopašov,Piešťany,Trnavský kraj,"421,900,616,387",sem.ut@Morbi.com,666433398/8234,12345806,1234569043
PO,Hakošová Daniela,Jašíkova,Dolný Ohaj,Nové Zámky,Nitriansky kraj,"421,995,818,202",vestibulum.massa@esttempor.edu,276380906/9885,12345807,1234569052
PO,Halecká  Anastázia,Jelačičova,Dolný Pial,Levice,Nitriansky kraj,"421,990,679,183",pede.blandit@CrasinterdumNunc.edu,944401362/6257,12345808,1234569061
PO,Hamáčková Kvetoslava,Jesenského,Dolný Štál,Dunajská Streda,Trnavský kraj,"421,985,643,269",cursus@egetmassa.edu,748871783/8903,12345809,1234569070
PO,HAMZOVA MARIANA,Jiráskova,Dolný Vadičov,Kysucké Nové Mesto,Žilinský kraj,"421,982,882,230",ridiculus@ante.org,959051317/1902,12345810,1234569079
PO,HANACKOVA EVA,Jungmannova,Doľany,Pezinok,Bratislavský kraj,"421,994,685,948",Phasellus@rhoncus.org,134554156/8171,12345811,1234569088
PO,HANCINOVA VIERA,Jégého,Doľany,Levoča,Prešovský kraj,"421,918,280,889",Pellentesque@convallisdolorQuisque.com,533645660/1081,12345812,1234569097
PO,HANCULAK JOZEF,Kapicova,Domadice,Levice,Nitriansky kraj,"421,995,987,913",augue.ut.lacus@dignissim.ca,761147913/9323,12345813,1234569106
PO,HARING JOZEF,Kapucínska,Domaníky,Krupina,Banskobystrický kraj,"421,963,687,739",turpis.egestas@Proin.com,256499048/4740,12345814,1234569115
PO,Haring Jozef,Karadžičova,Domaniža,Považská Bystrica,Trenčiansky kraj,"421,970,810,063",sapien.molestie@gravida.org,015170050/3762,12345815,1234569124
PO,HAUSEROVA ZUZANA,Karola Adlera,Domaňovce,Levoča,Prešovský kraj,"421,902,675,906",laoreet.lectus.quis@nonummyultricies.org,589128993/4694,12345816,1234569133
PO,HEJCIK PAVOL,Kaukazská,Donovaly,Banská Bystrica,Banskobystrický kraj,"421,964,158,673",commodo@metusInlorem.org,203608341/8322,12345817,1234569142
PO,HERENYIOVA JUDITA,Klariská,Drábsko,Brezno,Banskobystrický kraj,"421,912,255,491",egestas.urna.justo@ut.com,370012943/6463,12345818,1234569151
PO,HERGOTTOVA ANDREA,Klokočova,Drahňov,Michalovce,Košický kraj,"421,929,582,154",sodales.purus.in@metusAliquamerat.org,632507794/3180,12345819,1234569160
PO,HERMANOVA EVA,Kolmá,Drahovce,Piešťany,Trnavský kraj,"421,915,405,954",quam.elementum.at@temporarcu.edu,561001020/7135,12345820,1234569169
PO,Hermanová Petra,Kopčianska,Dravce,Levoča,Prešovský kraj,"421,941,676,139",semper.Nam.tempor@arcu.com,774683558/5797,12345821,1234569178
PO,HIDEGHETYOVA EVA,Kočánkova,Dražice,Rimavská Sobota,Banskobystrický kraj,"421,926,906,708",ut.odio.vel@Nullafacilisi.ca,641993167/2691,12345822,1234569187
PO,HILVERTOVA AGATA,Krasovského,Hažlín,Bardejov,Prešovský kraj,"421,994,696,676",erat.semper@nisiAeneaneget.com,022329078/6724,12345823,1234569196
PO,HIRNER VLADIMIR,Kremnická,Helcmanovce,Gelnica,Košický kraj,"421,966,538,014",lorem.vitae@doloregestasrhoncus.org,975602947/2029,12345824,1234569205
PO,HLAVATA VIERA,Krupinská,Heľpa,Brezno,Banskobystrický kraj,"421,934,753,672",Aliquam@cubiliaCurae;Donec.edu,507679833/6859,12345825,1234569214
PO,Hlivjáková Ingrid,Krupkova,Henckovce,Rožňava,Košický kraj,"421,906,865,840",nunc.ullamcorper.eu@blanditmattisCras.edu,340461240/2800,12345826,1234569223
PO,HLUBEK MARTIN,Krymská (Bratislava)Krymská,Henclová,Gelnica,Košický kraj,"421,932,522,529",Vestibulum@sedorci.ca,949131412/1174,12345827,1234569232
PO,HLUBEKOVA ANDREA,Krásnohorská,Hencovce,Vranov nad Topľou,Prešovský kraj,"421,905,112,429",nec.eleifend.non@etlaciniavitae.edu,018826958/0616,12345828,1234569241
PO,Hnath Ján,Krátka,Hendrichovce,Prešov,Prešovský kraj,"421,906,512,368",a.arcu@feugiatnon.com,180165724/3948,12345829,1234569250
PO,Hofericová Babeta,Kubínska,Herľany,Košice-okolie,Košický kraj,"421,907,656,135",arcu@dolordapibus.edu,696385013/9600,12345830,1234569259
PO,HOFIERKOVA STANISLAVA,Kutlíkova,Hronské Kľačany,Levice,Nitriansky kraj,"421,943,444,781",laoreet.ipsum@nonummyutmolestie.com,242921560/3787,12345831,1234569268
PO,Hogerová Zuzana,Ladzianskeho,Hronské Kosihy,Levice,Nitriansky kraj,"421,943,411,126",In.at.pede@consequatpurusMaecenas.org,280545599/6962,12345832,1234569277
PO,HOLLY KAROL,Lachova,Hronský Beňadik,Žarnovica,Banskobystrický kraj,"421,913,175,186",ante.Vivamus@felis.org,855822661/1297,12345833,1234569286
PO,HOLOUBEKOVA NATALIA,Lamačská cesta,Hrubá Borša,Senec,Bratislavský kraj,"421,955,342,852",mattis@utipsum.edu,115906702/4935,12345834,1234569295
PO,HOLOVICOVA TATIANA,Laurinská,Hruboňovo,Nitra,Nitriansky kraj,"421,907,690,158",rutrum@nibhenim.ca,636476490/3252,12345835,1234569304
PO,Honisch Henrich,Lenardova,Hrubov,Humenné,Prešovský kraj,"421,957,900,102",Sed.eget.lacus@sempercursus.edu,550271467/5074,12345836,1234569313
PO,HORNY VLASTIMIL,Levočská,Hrubý Šúr,Senec,Bratislavský kraj,"421,976,151,090",eget.odio@venenatisa.edu,004644334/1700,12345837,1234569322
